id,brand,name,shortDescription,longDescription,skuCode,shipEnabled,taxExempt,taxCategory,manageInventory,stockQuantity,price,weight,length,width,height,category1,category2
PG_CR_100,,$100 Physical Gift Card,$100 Gift Card. Gift Cards must be redeemed through our site Web site toward the purchase of eligible products.,"<p>Gift Cards must be redeemed through our site Web site toward the purchase of eligible products. Purchases are deducted from the GiftCard balance. Any unused balance will be placed in the recipient's GiftCard account when redeemed. If an order exceeds the amount of the GiftCard, the balance must be paid with a credit card or other available payment method.</p>",PG_CR_100,true,false,,false,10000,100,1,1,1,1,Gift Cards,
VG_CR_025,,$25 Virtual Gift Card,$25 Gift Card. Gift Cards must be redeemed through our site Web site toward the purchase of eligible products.,"<p>Gift Cards must be redeemed through our site Web site toward the purchase of eligible products. Purchases are deducted from the GiftCard balance. Any unused balance will be placed in the recipient's GiftCard account when redeemed. If an order exceeds the amount of the GiftCard, the balance must be paid with a credit card or other available payment method.</p>",VG_CR_025,false,false,,false,10000,25,0,0,0,0,Gift Cards,
PG_CR_050,,$50 Physical Gift Card,$50 Gift Card. Gift Cards must be redeemed through our site Web site toward the purchase of eligible products.,"<p>Gift Cards must be redeemed through our site Web site toward the purchase of eligible products. Purchases are deducted from the GiftCard balance. Any unused balance will be placed in the recipient's GiftCard account when redeemed. If an order exceeds the amount of the GiftCard, the balance must be paid with a credit card or other available payment method.</p>",PG_CR_050,true,false,,false,10000,50,1,1,1,1,Gift Cards,
AD_C80_RS,Adidas,adidas Consortium Campus 80s Running Shoes,adidas Consortium Campus 80s Primeknit Light Maroon/Running Shoes,"<p>One of three colorways of the adidas Consortium Campus 80s Primeknit set to drop alongside each other. This pair comes in light maroon and running white. Featuring a maroon-based primeknit upper with white accents. A limited release, look out for these at select adidas Consortium accounts worldwide.</p>",AD_C80_RS,true,false,Apparel,true,10000,27.56,2,2,2,2,Apparel,Shoes
AD_CS4_PH,Adobe,Adobe Photoshop CS4,Easily find and view all your photos,"<p>Adobe Photoshop CS4 software combines power and simplicity so you can make ordinary photos extraordinary; tell engaging stories in beautiful, personalized creations for print and web; and easily find and view all your photos. New Photoshop.com membership* works with Photoshop CS4 so you can protect your photos with automatic online backup and 2 GB of storage; view your photos anywhere you are; and share your photos in fun, interactive ways with invitation-only Online Albums.</p>",AD_CS4_PH,true,false,Electronics & Software,true,10000,75,2,2,2,3,Computers,Software
APPLE_CAM,Apple,Apple iCam,Photography becomes smart,"<p>A few months ago we featured the amazing WVIL camera, by many considered the future of digital photography. This is another very good looking concept, iCam is the vision of Italian designer Antonio DeRosa, the idea is to have a device that attaches to the iPhone 5, which then allows the user to have a camera with interchangeable lenses. The device would also feature a front-touch screen and a projector. Would be great if apple picked up on this and made it reality.</p>",APPLE_CAM,true,false,Electronics & Software,true,10000,1300,7,7,7,7,Electronics, Camera & photo
AP_MBP_13,Apple,Apple MacBook Pro 13-inch,"A groundbreaking Retina display. A new force-sensing trackpad. All-flash architecture. Powerful dual-core and quad-core Intel processors. Together, these features take the notebook to a new level of performance. And they will do the same for you in everything you create.","<p>With fifth-generation Intel Core processors, the latest graphics, and faster flash storage, the incredibly advanced MacBook Pro with Retina display moves even further ahead in performance and battery life.* *Compared with the previous generation.</p><p>Retina display with 2560-by-1600 resolution</p><p>Fifth-generation dual-core Intel Core i5 processor</p><p>Intel Iris Graphics</p><p>Up to 9 hours of battery life1</p><p>Faster flash storage2</p><p>802.11ac Wi-Fi</p><p>Two Thunderbolt 2 ports for connecting high-performance devices and transferring data at lightning speed</p><p>Two USB 3 ports (compatible with USB 2 devices) and HDMI</p><p>FaceTime HD camera</p><p>Pages, Numbers, Keynote, iPhoto, iMovie, GarageBand included</p><p>OS X, the world's most advanced desktop operating system</p>",AP_MBP_13,true,false,Electronics & Software,true,10000,1800,3,3,2,2,Computers,Notebooks
AS_551_LP,Asus,Asus N551JK-XO076H Laptop,"Laptop Asus N551JK Intel Core i7-4710HQ 2.5 GHz, RAM 16GB, HDD 1TB, Video NVidia GTX 850M 4GB, BluRay, 15.6, Full HD, Win 8.1","<p>The ASUS N550JX combines cutting-edge audio and visual technology to deliver an unsurpassed multimedia experience. A full HD wide-view IPS panel is tailor-made for watching movies and the intuitive touchscreen makes for easy, seamless navigation. ASUS has paired the N550JX’s impressive display with SonicMaster Premium, co-developed with Bang & Olufsen ICEpower® audio experts, for 'true surround sound. A quad-speaker array and external subwoofer combine for distinct vocals and a low bass that you can feel.</p>",AS_551_LP,true,false,Electronics & Software,true,10000,1500,7,7,7,7,Computers,Notebooks
BP_20_WSP,Apple,Beats Pill 2.0 Wireless Speaker,"<b>Pill 2.0 Portable Bluetooth Speaker (1-Piece):</b> Watch your favorite movies and listen to music with striking sound quality. This lightweight, portable speaker is easy to take with you as you travel to any destination, keeping you entertained wherever you are. ",<ul><li>Pair and play with your Bluetooth® device with 30 foot range</li><li>Built-in speakerphone</li><li>7 hour rechargeable battery</li><li>Power your other devices with USB charge out</li><li>Tap two Beats Pills™ together for twice the sound with Beats Bond™</li></ul>,BP_20_WSP,true,false,Electronics & Software,true,10000,79.99,2,2,2,3,Electronics,Others
COMP_CUST,,Build your own computer,Build it,"<p>Fight back against cluttered workspaces with the stylish IBM zBC12 All-in-One desktop PC, featuring powerful computing resources and a stunning 20.1-inch widescreen display with stunning XBRITE-HiColor LCD technology. The black IBM zBC12 has a built-in microphone and MOTION EYE camera with face-tracking technology that allows for easy communication with friends and family. And it has a built-in DVD burner and Sony's Movie Store software so you can create a digital entertainment library for personal viewing at your convenience. Easy to setup and even easier to use, this JS-series All-in-One includes an elegantly designed keyboard and a USB mouse.</p>",COMP_CUST,true,false,Electronics & Software,true,10000,1200,2,2,2,2,Computers,Desktops
